NUMDOS|NUMDOSVERLING|ANCART|FILIERE|ETAPE|VERLING|FORMAT
HA208002|HA208002|D38303|FRA|99.60|F|
HA209002|HA209002|D38304|FRA|99.60|F|
HA210002|HA210002|C73856|FRA|99.60|F|PDFI
HA211002|HA211002|D38311|FRA|99.60|F|
HA212002|HA212002|D38501|FRA|99.60|F|
HA213002|HA213002|D60001|FRA|99.60|F|
HA214002|HA214002|D60304|FRA|99.60|F|XML
HA214002|HA214002|D60304|FRA|99.60|F|PDFI
HA214002|HE214002|D60304|FRA|99.60|E|PDFI
HA215002|HA215002|D60311|FRA|99.60|F|PDFI
HA216002|HA216002|D60501|FRA|99.60|F|
HA217002|HA217002|D60511|FRA|99.60|F|
HA218002|HA218002|D60512|FRA|99.60|F|
HA219002|HA219002|D60515|FRA|99.60|F|
HA220002|HA220002|D60551|FRA|99.60|F|
HA221002|HA221002|D60701|FRA|99.60|F|
HA222002|HA222002|D61101|FRA|99.60|F|
HA223002|HA223002|D61102|FRA|99.60|F|
HA224002|HA224002|D61103|FRA|99.60|F|
HA225002|HA225002|D61104|FRA|99.60|F|
HA226002|HA226002|D61105|FRA|99.60|F|
HA227002|HA227002|D61106|FRA|99.60|F|
HA228002|HA228002|D61107|FRA|99.60|F|
HA229002|HA229002|D62301|FRA|99.60|F|
HA230002|HA230002|D62302|FRA|99.60|F|
HA965002|HA965002|E52602|FRA|99.60|F|PDFI
HA966002|HA966002|E53301|FRA|99.60|F|PDFI
HA967002|HA967002|E53800|FRA|99.60|F|
HA968002|HA968002|E55001|FRA|60.62|F|XML
HA968002|HA968002|E55001|FRA|60.62|F|PDFI
HA969002|HA969002|E55002|FRA|99.60|F|XML
HA969002|HA969002|E55002|FRA|99.60|F|PDFI
HA970002|HA970002|E55003|FRA|99.60|F|XML
HA970002|HA970002|E55003|FRA|99.60|F|PDFI
HA971002|HA971002|E55006|FRA|99.60|F|PDFI
HA972002|HA972002|E55023|FRA|99.60|F|XML
HA972002|HA972002|E55023|FRA|99.60|F|PDFI
HA973002|HA973002|E55026|FRA|99.60|F|PDFI
HA974002|HA974002|E55052|FRA|99.60|F|XML
HA974002|HA974002|E55052|FRA|99.60|F|PDFI
HA975002|HA975002|E55053|FRA|99.60|F|XML
HA975002|HA975002|E55053|FRA|99.60|F|PDFI
HA976002|HA976002|E55056|FRA|99.60|F|PDFI
HA977002|HA977002|E55062|FRA|99.60|F|XML
HA977002|HA977002|E55062|FRA|99.60|F|PDFI
HA978002|HA978002|E55063|FRA|99.60|F|XML
HA978002|HA978002|E55063|FRA|99.60|F|PDFI
HA979002|HA979002|E55066|FRA|99.60|F|PDFI
HA980002|HA980002|E55091|FRA|99.60|F|
HA981002|HA981002|E55092|FRA|99.60|F|XML
HA981002|HA981002|E55092|FRA|99.60|F|PDFI
HA982002|HA982002|E55093|FRA|99.60|F|
HA983002|HA983002|E55401|FRA|99.60|F|
HA984002|HA984002|E58001|FRA|99.60|F|
HA985002|HA985002|E58011|FRA|99.60|F|
HA986002|HA986002|E58012|FRA|99.60|F|
HA987002|HA987002|E58013|FRA|99.60|F|
HA988002|HA988002|E58014|FRA|99.60|F|
HA989002|HA989002|E58021|FRA|99.60|F|
HA990002|HA990002|E58023|FRA|99.60|F|
HA991002|HA991002|E58024|FRA|99.60|F|
HA992002|HA992002|E58025|FRA|99.60|F|
HA993002|HA993002|E58026|FRA|99.60|F|
HA994002|HA994002|E58050|FRA|99.60|F|
HA995002|HA995002|E60009|FRA|99.60|F|
HA996002|HA996002|E60010|FRA|99.60|F|XML
HA996002|HA996002|E60010|FRA|99.60|F|PDFI
HA997002|HA997002|E60011|FRA|99.60|F|XML
HA997002|HA997002|E60011|FRA|99.60|F|PDFI
HA998002|HA998002|E60012|FRA|99.60|F|XML
HA998002|HA998002|E60012|FRA|99.60|F|PDFI
HA999002|HA999002|E60013|FRA|99.60|F|
HA000003|HA000003|E60021|FRA|99.60|F|PDFI
HA001003|HA001003|E60022|FRA|99.60|F|XML
HA001003|HA001003|E60022|FRA|99.60|F|PDFI
HA718003|HA718003|T20218|FRA|60.62|F|PDFI
HA719003|HA719003|T20815|FRA|99.60|F|PDFI
HA720003|HA720003|R22731-1|FRA|60.62|F|XML
HA720003|HA720003|R22731-1|FRA|60.62|F|PDFC
HA720003|HE720003|R22731-1|FRA|60.62|E|PDFI
HA721003|HA721003|R22732|FRA|99.60|F|PDFI
HA722003|HA722003|R22733|FRA|99.60|F|PDFI
HA723003|HA723003|F54009|FRA|99.60|F|
HA724003|HA724003|F54010|FRA|99.60|F|
HA725003|HA725003|F54011|FRA|99.60|F|
HA726003|HA726003|C72100|FRA|99.60|F|PDFI
HA727003|HA727003|C72102|FRA|99.60|F|PDFI
HA728003|HA728003|C72213/A8PR|FRA|50.98|F|
HA729003|HA729003|L06826|FRA|99.60|F|XML
HA729003|HA729003|L06826|FRA|99.60|F|PDFI
HA730003|HA730003|L06828|FRA|99.60|F|
HA731003|HA731003|L06829|FRA|99.60|F|PDFI
HA732003|HA732003|L06827|FRA|60.62|F|XML
HA732003|HA732003|L06827|FRA|60.62|F|PDFI
HA733003|HA733003|A04308|FRA|99.60|F|PDFI
HA734003|HA734003|F55004|FRA|99.60|F|PDFI
HA735003|HA735003|F55006|FRA|99.60|F|PDFI
HA736003|HA736003|F55007|FRA|99.60|F|PDFI
HA737003|HA737003|E66511|FRA|60.62|F|XML
HA737003|HA737003|E66511|FRA|60.62|F|PDFI
HA738003|HA738003|E66512|FRA|60.62|F|XML
HA738003|HA738003|E66512|FRA|60.62|F|PDFI
HA739003|HA739003|F55010|FRA|99.60|F|
HA740003|HA740003|F55011|FRA|99.60|F|
HA741003|HA741003|F55012|FRA|99.60|F|
HA742003|HA742003|F55013|FRA|99.60|F|
HA743003|HA743003|F55014|FRA|99.60|F|
HA744003|HA744003|F55015|FRA|99.60|F|
HA745003|HA745003|F55016|FRA|99.60|F|
HA746003|HA746003|F55017|FRA|99.60|F|
HA747003|HA747003|F55018|FRA|99.60|F|PDFI
HA748003|HA748003|F55019|FRA|99.60|F|PDFI
HA749003|HA749003|F55020|FRA|99.60|F|PDFI
HA750003|HA750003|F55021|FRA|99.60|F|PDFI
HA751003|HA751003|F55022|FRA|99.60|F|PDFI
HA752003|HA752003|F55023|FRA|99.60|F|PDFI
HA753003|HA753003|F55024|FRA|99.60|F|
HA754003|HA754003|F55025|FRA|99.60|F|
HA755003|HA755003|F55026|FRA|99.60|F|
HA756003|HA756003|F55027|FRA|99.60|F|
HA757003|HA757003|F55028|FRA|99.60|F|
HA758003|HA758003|F55029|FRA|99.60|F|
HA759003|HA759003|A36602|FRA|99.60|F|PDFI
HA760003|HA760003|A36603|FRA|99.60|F|PDFI
HA761003|HA761003|A36210|FRA|60.62|F|XML
HA761003|HA761003|A36210|FRA|60.62|F|PDFI
HA762003|HA762003|E29963|FRA|99.60|F|XML
HA435004|HA435004|H20007|FRA|99.60|F|
HA436004|HA436004|H21002|FRA|99.60|F|
HA437004|HA437004|H21006|FRA|99.60|F|
HA438004|HA438004|H21007|FRA|99.60|F|
HA439004|HA439004|H21008|FRA|99.60|F|
HA440004|HA440004|H21022|FRA|99.60|F|
HA441004|HA441004|H21024|FRA|99.60|F|
HA442004|HA442004|H21025|FRA|99.60|F|
HA443004|HA443004|H21026|FRA|99.60|F|
HA444004|HA444004|H28001|FRA|99.60|F|
HA445004|HA445004|H31002|FRA|99.60|F|
HA446004|HA446004|H31101|FRA|99.60|F|
HA447004|HA447004|H31102|FRA|99.60|F|
HA448004|HA448004|H31103|FRA|99.60|F|PDFI
HA449004|HA449004|H31104|FRA|99.60|F|
HA450004|HA450004|H31105|FRA|99.60|F|
HA451004|HA451004|H31106|FRA|99.60|F|PDFI
HA452004|HA452004|H31151|FRA|99.60|F|
HA453004|HA453004|H31201|FRA|99.60|F|PDFI
HA454004|HA454004|H31202|FRA|99.60|F|
HA455004|HA455004|H31251|FRA|99.60|F|
HA456004|HA456004|H31253|FRA|99.60|F|
HA457004|HA457004|H31254|FRA|99.60|F|
HA458004|HA458004|H31301|FRA|99.60|F|
HA459004|HA459004|H31302|FRA|99.60|F|
HA460004|HA460004|H31303|FRA|99.60|F|
HA461004|HA461004|H31304|FRA|99.60|F|
HA462004|HA462004|H31305|FRA|99.60|F|
HA463004|HA463004|H31351|FRA|99.60|F|
HA464004|HA464004|H32001|FRA|99.60|F|
HA465004|HA465004|H32501|FRA|99.60|F|PDFI
HA466004|HA466004|H33001|FRA|99.60|F|
HA467004|HA467004|H33002|FRA|99.60|F|
HA468004|HA468004|H33501|FRA|99.60|F|
HA469004|HA469004|H33502|FRA|99.60|F|
HA470004|HA470004|H33503|FRA|99.60|F|
HA471004|HA471004|H33504|FRA|99.60|F|
HA472004|HA472004|H33505|FRA|99.60|F|
HA473004|HA473004|H33506|FRA|99.60|F|
HA474004|HA474004|H33507|FRA|99.60|F|
HA475004|HA475004|H34001|FRA|99.60|F|
HA476004|HA476004|Z41010|FRA|60.62|F|XML
HA476004|HA476004|Z41010|FRA|60.62|F|PDFI
HA477004|HA477004|H35031|FRA|99.60|F|
HA478004|HA478004|H44001|FRA|99.60|F|
HA479004|HA479004|H44002|FRA|99.60|F|
HA480004|HA480004|H44005|FRA|99.60|F|
HA481004|HA481004|H48001|FRA|99.60|F|
HA482004|HA482004|H48002|FRA|99.60|F|
HA483004|HA483004|H50000|FRA|99.60|F|
HA484004|HA484004|H50001|FRA|99.60|F|
HA485004|HA485004|H50002|FRA|99.60|F|XML
HA485004|HA485004|H50002|FRA|99.60|F|PDFI
HA486004|HA486004|H50003|FRA|99.60|F|
HA487004|HA487004|H50005|FRA|99.60|F|PDFI
HA488004|HA488004|H50006|FRA|99.60|F|XML
HA488004|HA488004|H50006|FRA|99.60|F|PDFI
HA489004|HA489004|H50007|FRA|99.60|F|XML
HA489004|HA489004|H50007|FRA|99.60|F|PDFI
HA490004|HA490004|H50008|FRA|99.60|F|PDFI
HA491004|HA491004|H90001|FRA|99.60|F|
HA492004|HA492004|H90002|FRA|99.60|F|
HA493004|HA493004|Z43100|FRA|99.60|F/E|XML
HA493004|HA493004|Z43100|FRA|99.60|F/E|PDFI
HA494004|HA494004|H90004|FRA|99.60|F|
HA495004|HA495004|H90005|FRA|99.60|F|
HA496004|HA496004|H90006|FRA|99.60|F|
HA497004|HA497004|H92001|FRA|99.60|F|PDFI
HA231002|HA231002|D62303|FRA|99.60|F|XML
HA231002|HA231002|D62303|FRA|99.60|F|PDFI
HA231002|HE231002|D62303|FRA|99.60|E|PDFI
HA232002|HA232002|D63101|FRA|99.60|F|
HA233002|HA233002|D63601|FRA|99.60|F|
HA234002|HA234002|D63602|FRA|99.60|F|
HA235002|HA235002|D63751|FRA|99.60|F|
HA236002|HA236002|D63754|FRA|99.60|F|
HA237002|HA237002|D63755|FRA|99.60|F|
HA238002|HA238002|D63756|FRA|99.60|F|
HA239002|HA239002|D63757|FRA|99.60|F|
HA240002|HA240002|D63758|FRA|99.60|F|
HA241002|HA241002|D63759|FRA|99.60|F|
HA242002|HA242002|D63760|FRA|99.60|F|
HA243002|HA243002|D64301|FRA|99.60|F|XML
HA243002|HA243002|D64301|FRA|99.60|F|PDFI
HA244002|HA244002|D64501|FRA|99.60|F|XML
HA244002|HA244002|D64501|FRA|99.60|F|PDFI
HA244002|HE244002|D64501|FRA|99.60|E|PDFI
HA245002|HA245002|D65101|FRA|99.60|F|
HA246002|HA246002|D65102|FRA|99.60|F|
HA247002|HA247002|D65103|FRA|99.60|F|
HA248002|HA248002|D65601|FRA|99.60|F|
HA249002|HA249002|D65602|FRA|99.60|F|
HA250002|HA250002|D65603|FRA|99.60|F|
HA251002|HA251002|D65604|FRA|99.60|F|
HA252002|HA252002|D65605|FRA|99.60|F|
HA253002|HA253002|D65609|FRA|99.60|F|
HA254002|HA254002|D65610|FRA|99.60|F|
HA255002|HA255002|D65760|FRA|99.60|F|PDFI
HA256002|HA256002|D66101|FRA|99.60|F|
HA257002|HA257002|D66201|FRA|99.60|F|
HA258002|HA258002|D66501|FRA|99.60|F|
HA259002|HA259002|D67001|FRA|99.60|F|
HA260002|HA260002|D40002|FRA|99.60|F|XML
HA260002|HA260002|D40002|FRA|99.60|F|PDFI
HA261002|HA261002|D67101|FRA|99.60|F|
HA262002|HA262002|D67601|FRA|99.60|F|
HA263002|HA263002|D67602|FRA|99.60|F|
HA264002|HA264002|D67603|FRA|99.60|F|
HA265002|HA265002|C73812|FRA|99.60|F|PDFI
HA266002|HA266002|C73813|FRA|99.60|F|PDFI
HA267002|HA267002|C73633/A1|FRA|99.60|F|
HA268002|HA268002|D69101|FRA|99.60|F|PDFI
HA269002|HA269002|D69111|FRA|99.60|F|
HA270002|HA270002|D69112|FRA|99.60|F|
HA271002|HA271002|D69131|FRA|99.60|F|
HA272002|HA272002|D69142|FRA|99.60|F|
HA273002|HA273002|D69151|FRA|99.60|F|
HA274002|HA274002|D69153|FRA|99.60|F|
HA275002|HA275002|D69301|FRA|99.60|F|
HA276002|HA276002|D83101|FRA|99.60|F|
HA277002|HA277002|D83102|FRA|99.60|F|
HA278002|HA278002|D87100|FRA|99.60|F|
HA279002|HA279002|D87102|FRA|99.60|F|
HA280002|HA280002|D87103|FRA|99.60|F|
HA281002|HA281002|D87105|FRA|99.60|F|
HA282002|HA282002|D87106|FRA|99.60|F|
HA283002|HA283002|D87107|FRA|99.60|F|
HA284002|HA284002|D87108|FRA|99.60|F|
HA285002|HA285002|D87109|FRA|99.60|F|
HA286002|HA286002|D87110|FRA|99.60|F|
HA287002|HA287002|D87111|FRA|99.60|F|
HA288002|HA288002|D87112|FRA|99.60|F|
HA289002|HA289002|D87113|FRA|99.60|F|
HA290002|HA290002|D87114|FRA|99.60|F|
HA291002|HA291002|D87115|FRA|99.60|F|
HA292002|HA292002|D87601|FRA|99.60|F|
HA293002|HA293002|D87602|FRA|99.60|F|
HA294002|HA294002|D35334|FRA|99.60|F|
HA295002|HA295002|D35336|FRA|99.60|F|
HA002003|HA002003|E60023|FRA|99.60|F|
HA003003|HA003003|E60024|FRA|99.60|F|
HA004003|HA004003|Z63300-3|FRA|99.60|F|PDFI
HA005003|HA005003|E60029|FRA|99.60|F|
HA006003|HA006003|E60031|FRA|99.60|F|XML
HA006003|HA006003|E60031|FRA|99.60|F|PDFI
HA007003|HA007003|E60032|FRA|99.60|F|XML
HA007003|HA007003|E60032|FRA|99.60|F|PDFI
HA007003|HE007003|E60032|FRA|99.60|E|PDFI
HA008003|HA008003|E60040|FRA|99.60|F|
HA009003|HA009003|C93255/A2|FRA|99.60|F|XML
HA009003|HA009003|C93255/A2|FRA|99.60|F|PDFI
HA010003|HA010003|E60100|FRA|99.60|F|PDFI
HA011003|HA011003|E60101|FRA|99.60|F|
HA012003|HA012003|E60102|FRA|99.60|F|
HA013003|HA013003|E60111|FRA|99.60|F|
HA014003|HA014003|E60112|FRA|99.60|F|
HA015003|HA015003|E60121|FRA|99.60|F|
HA016003|HA016003|E60122|FRA|99.60|F|
HA017003|HA017003|E60123|FRA|99.60|F|
HA018003|HA018003|E60124|FRA|99.60|F|
HA019003|HA019003|E60131|FRA|99.60|F|
HA020003|HA020003|E60150|FRA|99.60|F|XML
HA020003|HA020003|E60150|FRA|99.60|F|PDFI
HA021003|HA021003|E60200|FRA|99.60|F|
HA022003|HA022003|E60201|FRA|99.60|F|
HA023003|HA023003|E62105|FRA|99.60|F|PDFI
HA024003|HA024003|E62109|FRA|99.60|F|
HA025003|HA025003|E62114|FRA|99.60|F|
HA026003|HA026003|C83410|FRA|99.60|F|PDFI
HA027003|HA027003|C83411|FRA|99.60|F|XML
HA027003|HA027003|C83411|FRA|99.60|F|PDFI
HA028003|HA028003|E62210|FRA|99.60|F|
HA029003|HA029003|E62211|FRA|99.60|F|
HA030003|HA030003|E62212|FRA|99.60|F|
HA031003|HA031003|E62213|FRA|99.60|F|
HA032003|HA032003|E62214|FRA|99.60|F|
HA033003|HA033003|E62240|FRA|99.60|F|
HA034003|HA034003|E62241|FRA|99.60|F|
HA035003|HA035003|E62250|FRA|99.60|F|
HA036003|HA036003|E62251|FRA|99.60|F|
HA037003|HA037003|C83412|FRA|99.60|F|XML
HA037003|HA037003|C83412|FRA|99.60|F|PDFI
HA038003|HA038003|E62253|FRA|99.60|F|
HA039003|HA039003|E62254|FRA|99.60|F|
HA040003|HA040003|E62260|FRA|99.60|F|XML
HA040003|HA040003|E62260|FRA|99.60|F|PDFI
HA041003|HA041003|E62261|FRA|99.60|F|
HA042003|HA042003|E62262|FRA|99.60|F|
HA043003|HA043003|E62263|FRA|99.60|F|
HA044003|HA044003|E62264|FRA|99.60|F|
HA045003|HA045003|E62265|FRA|99.60|F|
HA046003|HA046003|E62501|FRA|99.60|F|
HA047003|HA047003|C83413|FRA|99.60|F|XML
HA047003|HA047003|C83413|FRA|99.60|F|PDFI
HA048003|HA048003|C83415|FRA|99.60|F|XML
HA048003|HA048003|C83415|FRA|99.60|F|PDFI
HA049003|HA049003|E51706|FRA|99.60|F|PDFI
HA762003|HA762003|E29963|FRA|99.60|F|PDFI
HA763003|HA763003|C32020/A1|FRA|99.60|F|XML
HA763003|HA763003|C32020/A1|FRA|99.60|F|PDFI
HA764003|HA764003|C73800/A51|FRA|60.62|F|XML
HA764003|HA764003|C73800/A51|FRA|60.62|F|PDFI
HA765003|HA765003|E48056|FRA|99.60|F|
HA766003|HA766003|F03301|FRA|99.60|F|XML
HA766003|HA766003|F03301|FRA|99.60|F|PDFI
HA767003|HA767003|F80200|FRA|60.62|F|XML
HA767003|HA767003|F80200|FRA|60.62|F|PDFI
HA768003|HA768003|T30900|FRA|99.60|F|PDFI
HA769003|HA769003|F56001|FRA|99.60|F|
HA770003|HA770003|T30904|FRA|99.60|F|XML
HA770003|HA770003|T30904|FRA|99.60|F|PDFI
HA771003|HA771003|T36004-1|FRA|99.60|F|XML
HA771003|HA771003|T36004-1|FRA|99.60|F|PDFI
HA772003|HA772003|T36004-2|FRA|99.60|F|XML
HA772003|HA772003|T36004-2|FRA|99.60|F|PDFI
HA773003|HA773003|T36004-3|FRA|99.60|F|XML
HA773003|HA773003|T36004-3|FRA|99.60|F|PDFI
HA774003|HA774003|V32074|FRA|99.60|F|PDFI
HA775003|HA775003|V32075|FRA|99.60|F|PDFI
HA776003|HA776003|L36200|FRA|60.62|F|XML
HA776003|HA776003|L36200|FRA|60.62|F|PDFI
HA777003|HA777003|L36201|FRA|60.62|F|XML
HA777003|HA777003|L36201|FRA|60.62|F|PDFI
HA778003|HA778003|F76003|FRA|99.60|F|
HA779003|HA779003|L36202|FRA|60.62|F|XML
HA779003|HA779003|L36202|FRA|60.62|F|PDFI
HA780003|HA780003|F76005|FRA|99.60|F|
HA781003|HA781003|F76006|FRA|99.60|F|
HA782003|HA782003|F76007|FRA|99.60|F|
HA783003|HA783003|F76008|FRA|99.60|F|
HA784003|HA784003|F76009|FRA|99.60|F|
HA785003|HA785003|F76010|FRA|99.60|F|
HA786003|HA786003|F76011|FRA|99.60|F|
HA787003|HA787003|F76012|FRA|99.60|F|
HA788003|HA788003|F76013|FRA|99.60|F|
HA789003|HA789003|F76014|FRA|99.60|F|
HA790003|HA790003|F76015|FRA|99.60|F|
HA791003|HA791003|F76016|FRA|99.60|F|XML
HA791003|HA791003|F76016|FRA|99.60|F|PDFI
HA792003|HA792003|F76018|FRA|99.60|F|
HA793003|HA793003|L36203|FRA|60.62|F|XML
HA793003|HA793003|L36203|FRA|60.62|F|PDFI
HA794003|HA794003|F76020|FRA|99.60|F|PDFI
HA795003|HA795003|L36204|FRA|60.62|F|XML
HA795003|HA795003|L36204|FRA|60.62|F|PDFI
HA797003|HA797003|F76023|FRA|99.60|F|
HA798003|HA798003|F76024|FRA|99.60|F|
HA593004|HA593004|J25500|FRA|99.60|F|PDFI
HA593004|HE593004|J25500|FRA|99.60|E|PDFI
HA594004|HA594004|J25505|FRA|99.60|F|XML
HA594004|HA594004|J25505|FRA|99.60|F|PDFI
HA595004|HA595004|J25510|FRA|99.60|F|XML
HA595004|HA595004|J25510|FRA|99.60|F|PDFI
HA596004|HA596004|J25513|FRA|99.60|F|XML
HA596004|HA596004|J25513|FRA|99.60|F|PDFI
HA597004|HA597004|J25516|FRA|99.60|F|XML
HA597004|HA597004|J25516|FRA|99.60|F|PDFI
HA598004|HA598004|J25519|FRA|99.60|F|XML
HA598004|HA598004|J25519|FRA|99.60|F|PDFI
HA408006|HA408006|P15101|FRA|99.60|F|
HA409006|HA409006|P15102|FRA|99.60|F|
HA410006|HA410006|P15300|FRA|99.60|F|
HA411006|HA411006|P15302|FRA|99.60|F|
HA412006|HA412006|P15303|FRA|99.60|F|
HA413006|HA413006|P15304|FRA|99.60|F|
HA414006|HA414006|P15305|FRA|99.60|F|
HA415006|HA415006|P15306|FRA|99.60|F|XML
HA415006|HA415006|P15306|FRA|99.60|F|PDFI
HA415006|HE415006|P15306|FRA|99.60|E|PDFI
HA416006|HA416006|P15307|FRA|99.60|F|PDFI
HA417006|HA417006|P15308|FRA|99.60|F|XML
HA417006|HA417006|P15308|FRA|99.60|F|PDFI
HA417006|HE417006|P15308|FRA|99.60|E|PDFI
HA418006|HA418006|P15310|FRA|99.60|F|PDFI
HA419006|HA419006|P15311|FRA|99.60|F|
HA420006|HA420006|P15312|FRA|99.60|F|PDFI
HA421006|HA421006|P15313|FRA|99.60|F|
HA422006|HA422006|P15350|FRA|99.60|F|
HA423006|HA423006|P15401|FRA|99.60|F|
HA424006|HA424006|P15402|FRA|99.60|F|
HA425006|HA425006|P15403|FRA|99.60|F|
HA426006|HA426006|P15411|FRA|99.60|F|
HA427006|HA427006|P15412|FRA|99.60|F|
HA428006|HA428006|P15413|FRA|99.60|F|
HA429006|HA429006|P15414|FRA|99.60|F|
HA430006|HA430006|P15431|FRA|99.60|F|PDFI
HA431006|HA431006|P15432|FRA|99.60|F|
HA432006|HA432006|P15433|FRA|99.60|F|PDFI
HA433006|HA433006|P15434|FRA|99.60|F|
HA434006|HA434006|P15442|FRA|99.60|F|
HA435006|HA435006|P15443|FRA|99.60|F|XML
HA435006|HA435006|P15443|FRA|99.60|F|PDFI
HA435006|HE435006|P15443|FRA|99.60|E|PDFI
HA436006|HA436006|P15451|FRA|99.60|F|
HA437006|HA437006|P15461|FRA|99.60|F|
HA438006|HA438006|P15462|FRA|99.60|F|
HA439006|HA439006|P16301|FRA|99.60|F|
HA440006|HA440006|P16302|FRA|99.60|F|
HA441006|HA441006|P16304|FRA|99.60|F|
HA442006|HA442006|P16321|FRA|99.60|F|
HA443006|HA443006|P16341|FRA|99.60|F|
HA444006|HA444006|P16343|FRA|99.60|F|
HA445006|HA445006|P16401|FRA|60.62|F|XML
HA296002|HA296002|D35385/A2|FRA|99.60|F|PDFI
HA297002|HA297002|C64100|FRA|99.60|F|PDFI
HA298002|HA298002|D35351/AM|FRA|99.60|F|
HA299002|HA299002|D35352/AM|FRA|99.60|F|
HA300002|HA300002|D18201|FRA|99.60|F|
HA301002|HA301002|D18202|FRA|99.60|F|
HA302002|HA302002|D67607|FRA|99.60|F|XML
HA302002|HA302002|D67607|FRA|99.60|F|PDFI
HA303002|HA303002|D35337|FRA|99.60|F|
HA304002|HA304002|D38305|FRA|99.60|F|
HA305002|HA305002|D61201|FRA|99.60|F|
HA306002|HA306002|D14502|FRA|99.60|F|XML
HA306002|HA306002|D14502|FRA|99.60|F|PDFI
HA306002|HE306002|D14502|FRA|99.60|E|PDFI
HA307002|HA307002|D14503|FRA|99.60|F|
HA308002|HA308002|D14504|FRA|99.60|F|
HA309002|HA309002|D14506|FRA|99.60|F|
HA310002|HA310002|D14508|FRA|99.60|F|
HA311002|HA311002|D14509|FRA|99.60|F|
HA312002|HA312002|D36103|FRA|99.60|F|
HA313002|HA313002|D11112|FRA|99.60|F|
HA314002|HA314002|D35323|FRA|99.60|F|
HA315002|HA315002|D67002|FRA|99.60|F|XML
HA315002|HA315002|D67002|FRA|99.60|F|PDFI
HA316002|HA316002|D36102|FRA|99.60|F|
HA317002|HA317002|D21351|FRA|99.60|F|
HA318002|HA318002|D35323|FRA|99.60|F|
HA319002|HA319002|D67604|FRA|99.60|F|
HA320002|HA320002|D67605|FRA|99.60|F|
HA321002|HA321002|D36104|FRA|99.60|F|PDFI
HA322002|HA322002|D11102|FRA|99.60|F|
HA323002|HA323002|D11108|FRA|99.60|F|
HA324002|HA324002|D12103|FRA|99.60|F|
HA325002|HA325002|D35321/AM1|FRA|99.60|F|
HA326002|HA326002|C74302/A1|FRA|99.60|F|XML
HA326002|HA326002|C74302/A1|FRA|99.60|F|PDFI
HA327002|HA327002|D32321/A1|FRA|99.60|F|
HA328002|HA328002|D35337/AM1|FRA|99.60|F|
HA329002|HA329002|D36106|FRA|99.60|F|
HA330002|HA330002|R13441|FRA|60.62|F|XML
HA330002|HA330002|R13441|FRA|60.62|F|PDFI
HA331002|HA331002|Z15020|FRA|99.60|F|
HA332002|HA332002|D38600|FRA|99.60|F|XML
HA332002|HA332002|D38600|FRA|99.60|F|PDFI
HA333002|HA333002|D38601|FRA|99.60|F|XML
HA333002|HA333002|D38601|FRA|99.60|F|PDFI
HA334002|HA334002|G43504|FRA|99.60|F/E/R|XML
HA334002|HA334002|G43504|FRA|99.60|F/E/R|PDFI
HA335002|HA335002|E62103|FRA|99.60|F|
HA336002|HA336002|C43801|FRA|99.60|F|PDFI
HA337002|HA337002|S76003|FRA|99.60|F|
HA338002|HA338002|T20551|FRA|99.60|F|
HA339002|HA339002|T20552|FRA|99.60|F|
HA340002|HA340002|E01001|FRA|99.60|F|XML
HA340002|HA340002|E01001|FRA|99.60|F|PDFI
HA340002|HE340002|E01001|FRA|99.60|E|PDFI
HA341002|HA341002|E01011|FRA|99.60|F|PDFI
HA342002|HA342002|E01051|FRA|99.60|F|
HA050003|HA050003|U42002-1|FRA|60.62|F|XML
HA050003|HA050003|U42002-1|FRA|60.62|F|PDFI
HA051003|HA051003|U42003-1|FRA|60.62|F|XML
HA051003|HA051003|U42003-1|FRA|60.62|F|PDFI
HA052003|HA052003|V59201|FRA|99.60|F|XML
HA052003|HA052003|V59201|FRA|99.60|F|PDFI
HA053003|HA053003|V59202|FRA|99.60|F|XML
HA053003|HA053003|V59202|FRA|99.60|F|PDFI
HA054003|HA054003|E62521|FRA|99.60|F|
HA055003|HA055003|E62522|FRA|99.60|F|
HA056003|HA056003|E62526|FRA|99.60|F|
HA057003|HA057003|E62527|FRA|99.60|F|
HA058003|HA058003|E62528|FRA|99.60|F|XML
HA058003|HA058003|E62528|FRA|99.60|F|PDFI
HA059003|HA059003|E62531|FRA|99.60|F|
HA060003|HA060003|V59203|FRA|99.60|F|XML
HA060003|HA060003|V59203|FRA|99.60|F|PDFI
HA061003|HA061003|E63011|FRA|99.60|F|
HA062003|HA062003|V59204|FRA|99.60|F|XML
HA062003|HA062003|V59204|FRA|99.60|F|PDFI
HA063003|HA063003|P98341|FRA|99.60|F|PDFC
HA064003|HA064003|E63050|FRA|99.60|F|
HA065003|HA065003|E63051|FRA|99.60|F|
HA066003|HA066003|E63052|FRA|99.60|F|XML
HA066003|HA066003|E63052|FRA|99.60|F|PDFI
HA066003|HE066003|E63052|FRA|99.60|E|PDFI
HA067003|HA067003|E63053|FRA|99.60|F|
HA068003|HA068003|P98342|FRA|99.60|F|PDFC
HA069003|HA069003|E63055|FRA|99.60|F|
HA070003|HA070003|E63056|FRA|99.60|F|
HA071003|HA071003|E63057|FRA|99.60|F|
HA072003|HA072003|E63058|FRA|99.60|F|
HA073003|HA073003|E63059|FRA|99.60|F|
HA074003|HA074003|E63060|FRA|99.60|F|
HA075003|HA075003|E63061|FRA|99.60|F|
